epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5933,1.08689,2.62335,1.4738,0.33999,0.50116,0.09754,0.05376,1.46563,3.23015,1.78351,0.06634,0.00034,0.00034
2,71.811,1.03078,2.2108,1.44863,0.7788,0.14634,0.18491,0.09353,1.45789,2.86563,1.86297,0.0316445,0.00064446,0.00064446
3,110.626,1.09804,2.11953,1.49105,0.57247,0.27529,0.26808,0.19053,1.13883,2.46389,1.51469,0.000868,0.000868,0.000868
4,146.121,1.0781,2.0588,1.49403,0.48487,0.33355,0.30064,0.18725,1.39256,2.3574,1.7301,0.000802,0.000802,0.000802
5,195.467,1.09844,2.00575,1.49951,0.25035,0.39418,0.29412,0.17867,1.30178,2.32693,1.662,0.000736,0.000736,0.000736
6,269.363,0.89047,1.9698,1.37081,0.33762,0.32251,0.29045,0.18269,1.25668,2.23306,1.67114,0.00067,0.00067,0.00067
7,299.599,0.88261,1.91702,1.35489,0.29311,0.45921,0.3028,0.20271,1.14498,2.1906,1.56834,0.000604,0.000604,0.000604
8,322.442,0.86253,1.81981,1.36155,0.29874,0.47182,0.32181,0.20218,1.31757,2.12723,1.69641,0.000538,0.000538,0.000538
9,350.657,0.8239,1.69074,1.32669,0.39937,0.5143,0.42856,0.30129,1.08857,1.86524,1.44588,0.000472,0.000472,0.000472
10,372.266,0.79711,1.60096,1.28616,0.38764,0.48808,0.39523,0.27049,1.09011,1.97261,1.42703,0.000406,0.000406,0.000406
11,392.525,0.77213,1.60078,1.25969,0.47888,0.39276,0.42489,0.28125,1.23395,1.95271,1.55444,0.00034,0.00034,0.00034
12,413.353,0.73426,1.53785,1.22249,0.46249,0.38393,0.41427,0.29579,1.0864,1.88878,1.43453,0.000274,0.000274,0.000274
13,435.459,0.67663,1.46542,1.18734,0.42514,0.52643,0.43741,0.31899,1.03228,1.81051,1.38234,0.000208,0.000208,0.000208
14,463.415,0.66354,1.41387,1.16753,0.53235,0.50437,0.4665,0.33328,1.03635,1.76106,1.37851,0.000142,0.000142,0.000142
15,505.721,0.65524,1.35651,1.14872,0.55856,0.462,0.47751,0.3451,1.05492,1.76176,1.40227,7.6e-05,7.6e-05,7.6e-05
