epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9255,1.23317,2.39543,1.61315,0.21883,0.26218,0.19776,0.10373,1.47014,2.65699,1.93981,0.0512071,0.000492857,0.000492857
2,108.18,1.21022,1.99872,1.60473,0.21561,0.36436,0.23542,0.13743,1.44261,2.42903,1.9714,0.00164161,0.000927329,0.000927329
3,166.945,1.22688,1.92346,1.58399,0.23487,0.32578,0.27821,0.17058,1.54303,2.48729,1.84783,0.000868,0.000868,0.000868
4,223.536,1.17583,1.85247,1.59135,0.27022,0.34555,0.27374,0.17373,1.41492,2.15211,1.81269,0.000802,0.000802,0.000802
5,338.826,1.21567,1.90428,1.58155,0.45725,0.35021,0.35025,0.2298,1.34064,1.89547,1.71632,0.000736,0.000736,0.000736
6,427.552,0.97927,1.63927,1.45486,0.35203,0.38735,0.34359,0.22311,1.27171,1.78832,1.69602,0.00067,0.00067,0.00067
7,509.162,0.94965,1.54472,1.43358,0.34676,0.29863,0.29129,0.18936,1.22699,2.22466,1.71406,0.000604,0.000604,0.000604
8,625.534,0.90594,1.51449,1.39621,0.51098,0.34496,0.32859,0.20487,1.34574,1.87227,1.76644,0.000538,0.000538,0.000538
9,677.865,0.85819,1.45373,1.38466,0.44525,0.49684,0.42668,0.28465,1.26744,1.71678,1.71269,0.000472,0.000472,0.000472
10,717.354,0.85948,1.32631,1.36192,0.41979,0.49661,0.39487,0.26651,1.21392,1.74742,1.59985,0.000406,0.000406,0.000406
11,754.075,0.85378,1.2876,1.33888,0.4566,0.46775,0.45387,0.27523,1.25326,1.63162,1.62891,0.00034,0.00034,0.00034
12,789.755,0.7795,1.19796,1.2927,0.54317,0.47389,0.45789,0.2978,1.20815,1.51503,1.59764,0.000274,0.000274,0.000274
13,830.42,0.79165,1.16232,1.3102,0.68496,0.41622,0.50343,0.33432,1.19335,1.46577,1.57382,0.000208,0.000208,0.000208
14,881.697,0.75605,1.07069,1.25466,0.71107,0.45667,0.51682,0.33856,1.19833,1.4359,1.58439,0.000142,0.000142,0.000142
15,944.106,0.7175,1.0251,1.21139,0.64606,0.46462,0.52238,0.35404,1.18752,1.42603,1.57319,7.6e-05,7.6e-05,7.6e-05
